id;code;category;subcat;tricat;title
1690;D45;II;D37-D48;0;(D45) Polycythaemia vera
1691;D46;II;D37-D48;0;(D46) Myelodysplastic syndromes
1692;D46.0;II;D37-D48;D46;(D46.0) Refractory anaemia without sideroblasts, so stated
1693;D46.1;II;D37-D48;D46;(D46.1) Refractory anaemia with sideroblasts
1694;D46.2;II;D37-D48;D46;(D46.2) Refractory anaemia with excess of blasts
1695;D46.3;II;D37-D48;D46;(D46.3) Refractory anaemia with excess of blasts with transformation
1696;D46.4;II;D37-D48;D46;(D46.4) Refractory anaemia, unspecified
1697;D46.7;II;D37-D48;D46;(D46.7) Other myelodysplastic syndromes
1698;D46.9;II;D37-D48;D46;(D46.9) Myelodysplastic syndrome, unspecified
1699;D47;II;D37-D48;0;(D47) Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue
1700;D47.0;II;D37-D48;D47;(D47.0) Histiocytic and mast cell tumours of uncertain and unknown behaviour
1701;D47.1;II;D37-D48;D47;(D47.1) Chronic myeloproliferative disease
1702;D47.2;II;D37-D48;D47;(D47.2) Monoclonal gammopathy
1703;D47.3;II;D37-D48;D47;(D47.3) Essential (haemorrhagic) thrombocythaemia
1704;D47.7;II;D37-D48;D47;(D47.7) Other specified neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue
1705;D47.9;II;D37-D48;D47;(D47.9) Neoplasm of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue, unspecified
1706;D48;II;D37-D48;0;(D48) Neoplasm of uncertain or unknown behaviour of other and unspecified sites
1707;D48.0;II;D37-D48;D48;(D48.0) Bone and articular cartilage
1708;D48.1;II;D37-D48;D48;(D48.1) Connective and other soft tissue
1709;D48.2;II;D37-D48;D48;(D48.2) Peripheral nerves and autonomic nervous system
1710;D48.3;II;D37-D48;D48;(D48.3) Retroperitoneum
1711;D48.4;II;D37-D48;D48;(D48.4) Peritoneum
1712;D48.5;II;D37-D48;D48;(D48.5) Skin
1713;D48.6;II;D37-D48;D48;(D48.6) Breast
1714;D48.7;II;D37-D48;D48;(D48.7) Other specified sites
1715;D48.9;II;D37-D48;D48;(D48.9) Neoplasms of uncertain or unknown behaviour, unspecified
1716;III;0;0;0;III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
1717;D50-D53;III;0;0;(D50-D53) Nutritional anaemias
1718;D50;III;D50-D53;0;(D50) Iron deficiency anaemia
1719;D50.0;III;D50-D53;D50;(D50.0) Iron deficiency anaemia secondary to blood loss (chronic)
1720;D50.1;III;D50-D53;D50;(D50.1) Sideropenic dysphagia
1721;D50.8;III;D50-D53;D50;(D50.8) Other iron deficiency anaemias
1722;D50.9;III;D50-D53;D50;(D50.9) Iron deficiency anaemia, unspecified
1723;D51;III;D50-D53;0;(D51) Vitamin B12 deficiency anaemia
1724;D51.0;III;D50-D53;D51;(D51.0) Vitamin B12 deficiency anaemia due to intrinsic factor deficiency
1725;D51.1;III;D50-D53;D51;(D51.1) Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria
1726;D51.2;III;D50-D53;D51;(D51.2) Transcobalamin II deficiency
1727;D51.3;III;D50-D53;D51;(D51.3) Other dietary vitamin B12 deficiency anaemia
1728;D51.8;III;D50-D53;D51;(D51.8) Other vitamin B12 deficiency anaemias
1729;D51.9;III;D50-D53;D51;(D51.9) Vitamin B12 deficiency anaemia, unspecified
1730;D52;III;D50-D53;0;(D52) Folate deficiency anaemia
1731;D52.0;III;D50-D53;D52;(D52.0) Dietary folate deficiency anaemia
1732;D52.1;III;D50-D53;D52;(D52.1) Drug-induced folate deficiency anaemia
1733;D52.8;III;D50-D53;D52;(D52.8) Other folate deficiency anaemias
1734;D52.9;III;D50-D53;D52;(D52.9) Folate deficiency anaemia, unspecified
1735;D53;III;D50-D53;0;(D53) Other nutritional anaemias
1736;D53.0;III;D50-D53;D53;(D53.0) Protein deficiency anaemia
1737;D53.1;III;D50-D53;D53;(D53.1) Other megaloblastic anaemias, not elsewhere classified
1738;D53.2;III;D50-D53;D53;(D53.2) Scorbutic anaemia
1739;D53.8;III;D50-D53;D53;(D53.8) Other specified nutritional anaemias
1740;D53.9;III;D50-D53;D53;(D53.9) Nutritional anaemia, unspecified
1741;D55-D59;III;0;0;(D55-D59) Haemolytic anaemias
1742;D55;III;D55-D59;0;(D55) Anaemia due to enzyme disorders
1743;D55.0;III;D55-D59;D55;(D55.0) Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
1744;D55.1;III;D55-D59;D55;(D55.1) Anaemia due to other disorders of glutathione metabolism
1745;D55.2;III;D55-D59;D55;(D55.2) Anaemia due to disorders of glycolytic enzymes
1746;D55.3;III;D55-D59;D55;(D55.3) Anaemia due to disorders of nucleotide metabolism
1747;D55.8;III;D55-D59;D55;(D55.8) Other anaemias due to enzyme disorders
1748;D55.9;III;D55-D59;D55;(D55.9) Anaemia due to enzyme disorder, unspecified
1749;D56;III;D55-D59;0;(D56) Thalassaemia
1750;D56.0;III;D55-D59;D56;(D56.0) Alpha thalassaemia
1751;D56.1;III;D55-D59;D56;(D56.1) Beta thalassaemia
1752;D56.2;III;D55-D59;D56;(D56.2) Delta-beta thalassaemia
1753;D56.3;III;D55-D59;D56;(D56.3) Thalassaemia trait
1754;D56.4;III;D55-D59;D56;(D56.4) Hereditary persistence of foetal haemoglobin [HPFH]
1755;D56.8;III;D55-D59;D56;(D56.8) Other thalassaemias
1756;D56.9;III;D55-D59;D56;(D56.9) Thalassaemia, unspecified
1757;D57;III;D55-D59;0;(D57) Sickle-cell disorders
1758;D57.0;III;D55-D59;D57;(D57.0) Sickle-cell anaemia with crisis
1759;D57.1;III;D55-D59;D57;(D57.1) Sickle-cell anaemia without crisis
1760;D57.2;III;D55-D59;D57;(D57.2) Double heterozygous sickling disorders
1761;D57.3;III;D55-D59;D57;(D57.3) Sickle-cell trait
1762;D57.8;III;D55-D59;D57;(D57.8) Other sickle-cell disorders
1763;D58;III;D55-D59;0;(D58) Other hereditary haemolytic anaemias
1764;D58.0;III;D55-D59;D58;(D58.0) Hereditary spherocytosis
1765;D58.1;III;D55-D59;D58;(D58.1) Hereditary elliptocytosis
1766;D58.2;III;D55-D59;D58;(D58.2) Other haemoglobinopathies
1767;D58.8;III;D55-D59;D58;(D58.8) Other specified hereditary haemolytic anaemias
1768;D58.9;III;D55-D59;D58;(D58.9) Hereditary haemolytic anaemia, unspecified
1769;D59;III;D55-D59;0;(D59) Acquired haemolytic anaemia
1770;D59.0;III;D55-D59;D59;(D59.0) Drug-induced autoimmune haemolytic anaemia
1771;D59.1;III;D55-D59;D59;(D59.1) Other autoimmune haemolytic anaemias
1772;D59.2;III;D55-D59;D59;(D59.2) Drug-induced nonautoimmune haemolytic anaemia
1773;D59.3;III;D55-D59;D59;(D59.3) Haemolytic-uraemic syndrome
1774;D59.4;III;D55-D59;D59;(D59.4) Other nonautoimmune haemolytic anaemias
1775;D59.5;III;D55-D59;D59;(D59.5) Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]
1776;D59.6;III;D55-D59;D59;(D59.6) Haemoglobinuria due to haemolysis from other external causes
1777;D59.8;III;D55-D59;D59;(D59.8) Other acquired haemolytic anaemias
1778;D59.9;III;D55-D59;D59;(D59.9) Acquired haemolytic anaemia, unspecified
1779;D60-D64;III;0;0;(D60-D64) Aplastic and other anaemias
1780;D60;III;D60-D64;0;(D60) Acquired pure red cell aplasia [erythroblastopenia]
1781;D60.0;III;D60-D64;D60;(D60.0) Chronic acquired pure red cell aplasia
1782;D60.1;III;D60-D64;D60;(D60.1) Transient acquired pure red cell aplasia
1783;D60.8;III;D60-D64;D60;(D60.8) Other acquired pure red cell aplasias
1784;D60.9;III;D60-D64;D60;(D60.9) Acquired pure red cell aplasia, unspecified
1785;D61;III;D60-D64;0;(D61) Other aplastic anaemias
1786;D61.0;III;D60-D64;D61;(D61.0) Constitutional aplastic anaemia
1787;D61.1;III;D60-D64;D61;(D61.1) Drug-induced aplastic anaemia
1788;D61.2;III;D60-D64;D61;(D61.2) Aplastic anaemia due to other external agents
1789;D61.3;III;D60-D64;D61;(D61.3) Idiopathic aplastic anaemia
1790;D61.8;III;D60-D64;D61;(D61.8) Other specified aplastic anaemias
1791;D61.9;III;D60-D64;D61;(D61.9) Aplastic anaemia, unspecified
1792;D62;III;D60-D64;0;(D62) Acute posthaemorrhagic anaemia
1793;D63;III;D60-D64;0;(D63) Anaemia in chronic diseases classified elsewhere
1794;D63.0;III;D60-D64;D63;(D63.0) Anaemia in neoplastic disease
1795;D63.1;III;D60-D64;D63;(D63.1) Anaemia in other chronic diseases classified elsewhere
1796;D64;III;D60-D64;0;(D64) Other anaemias
1797;D64.0;III;D60-D64;D64;(D64.0) Hereditary sideroblastic anaemia
1798;D64.1;III;D60-D64;D64;(D64.1) Secondary sideroblastic anaemia due to disease
1799;D64.2;III;D60-D64;D64;(D64.2) Secondary sideroblastic anaemia due to drugs and toxins
1800;D64.3;III;D60-D64;D64;(D64.3) Other sideroblastic anaemias
1801;D64.4;III;D60-D64;D64;(D64.4) Congenital dyserythropoietic anaemia
1802;D64.8;III;D60-D64;D64;(D64.8) Other specified anaemias
1803;D64.9;III;D60-D64;D64;(D64.9) Anaemia, unspecified
1804;D65-D69;III;0;0;(D65-D69) Coagulation defects, purpura and other haemorrhagic conditions
1805;D65;III;D65-D69;0;(D65) Disseminated intravascular coagulation [defibrination syndrome]
1806;D66;III;D65-D69;0;(D66) Hereditary factor VIII deficiency
1807;D67;III;D65-D69;0;(D67) Hereditary factor IX deficiency
1808;D68;III;D65-D69;0;(D68) Other coagulation defects
1809;D68.0;III;D65-D69;D68;(D68.0) Von Willebrand's disease
1810;D68.1;III;D65-D69;D68;(D68.1) Hereditary factor XI deficiency
1811;D68.2;III;D65-D69;D68;(D68.2) Hereditary deficiency of other clotting factors
1812;D68.3;III;D65-D69;D68;(D68.3) Haemorrhagic disorder due to circulating anticoagulants
1813;D68.4;III;D65-D69;D68;(D68.4) Acquired coagulation factor deficiency
1814;D68.8;III;D65-D69;D68;(D68.8) Other specified coagulation defects
1815;D68.9;III;D65-D69;D68;(D68.9) Coagulation defect, unspecified
1816;D69;III;D65-D69;0;(D69) Purpura and other haemorrhagic conditions
1817;D69.0;III;D65-D69;D69;(D69.0) Allergic purpura
1818;D69.1;III;D65-D69;D69;(D69.1) Qualitative platelet defects
1819;D69.2;III;D65-D69;D69;(D69.2) Other nonthrombocytopenic purpura
1820;D69.3;III;D65-D69;D69;(D69.3) Idiopathic thrombocytopenic purpura
1821;D69.4;III;D65-D69;D69;(D69.4) Other primary thrombocytopenia
1822;D69.5;III;D65-D69;D69;(D69.5) Secondary thrombocytopenia
1823;D69.6;III;D65-D69;D69;(D69.6) Thrombocytopenia, unspecified
1824;D69.8;III;D65-D69;D69;(D69.8) Other specified haemorrhagic conditions
1825;D69.9;III;D65-D69;D69;(D69.9) Haemorrhagic condition, unspecified
1826;D70-D77;III;0;0;(D70-D77) Other diseases of blood and blood-forming organs
1827;D70;III;D70-D77;0;(D70) Agranulocytosis
1828;D71;III;D70-D77;0;(D71) Functional disorders of polymorphonuclear neutrophils
1829;D72;III;D70-D77;0;(D72) Other disorders of white blood cells
1830;D72.0;III;D70-D77;D72;(D72.0) Genetic anomalies of leukocytes
1831;D72.1;III;D70-D77;D72;(D72.1) Eosinophilia
1832;D72.8;III;D70-D77;D72;(D72.8) Other specified disorders of white blood cells
1833;D72.9;III;D70-D77;D72;(D72.9) Disorder of white blood cells, unspecified
1834;D73;III;D70-D77;0;(D73) Diseases of spleen
1835;D73.0;III;D70-D77;D73;(D73.0) Hyposplenism
1836;D73.1;III;D70-D77;D73;(D73.1) Hypersplenism
1837;D73.2;III;D70-D77;D73;(D73.2) Chronic congestive splenomegaly
1838;D73.3;III;D70-D77;D73;(D73.3) Abscess of spleen
1839;D73.4;III;D70-D77;D73;(D73.4) Cyst of spleen
1840;D73.5;III;D70-D77;D73;(D73.5) Infarction of spleen
1841;D73.8;III;D70-D77;D73;(D73.8) Other diseases of spleen
1842;D73.9;III;D70-D77;D73;(D73.9) Disease of spleen, unspecified
1843;D74;III;D70-D77;0;(D74) Methaemoglobinaemia
1844;D74.0;III;D70-D77;D74;(D74.0) Congenital methaemoglobinaemia
1845;D74.8;III;D70-D77;D74;(D74.8) Other methaemoglobinaemias
1846;D74.9;III;D70-D77;D74;(D74.9) Methaemoglobinaemia, unspecified
1847;D75;III;D70-D77;0;(D75) Other diseases of blood and blood-forming organs
1848;D75.0;III;D70-D77;D75;(D75.0) Familial erythrocytosis
1849;D75.1;III;D70-D77;D75;(D75.1) Secondary polycythaemia
1850;D75.2;III;D70-D77;D75;(D75.2) Essential thrombocytosis
1851;D75.8;III;D70-D77;D75;(D75.8) Other specified diseases of blood and blood-forming organs
1852;D75.9;III;D70-D77;D75;(D75.9) Disease of blood and blood-forming organs, unspecified
1853;D76;III;D70-D77;0;(D76) Certain diseases involving lymphoreticular tissue and reticulohistiocytic system
1854;D76.0;III;D70-D77;D76;(D76.0) Langerhans' cell histiocytosis, not elsewhere classified
1855;D76.1;III;D70-D77;D76;(D76.1) Haemophagocytic lymphohistiocytosis
1856;D76.2;III;D70-D77;D76;(D76.2) Haemophagocytic syndrome, infection-associated
1857;D76.3;III;D70-D77;D76;(D76.3) Other histiocytosis syndromes
1858;D77;III;D70-D77;0;(D77) Other disorders of blood and blood-forming organs in diseases classified elsewhere
1859;D80-D89;III;0;0;(D80-D89) Certain disorders involving the immune mechanism
1860;D80;III;D80-D89;0;(D80) Immunodeficiency with predominantly antibody defects
1861;D80.0;III;D80-D89;D80;(D80.0) Hereditary hypogammaglobulinaemia
1862;D80.1;III;D80-D89;D80;(D80.1) Nonfamilial hypogammaglobulinaemia
1863;D80.2;III;D80-D89;D80;(D80.2) Selective deficiency of immunoglobulin A [IgA]
1864;D80.3;III;D80-D89;D80;(D80.3) Selective deficiency of immunoglobulin G [IgG] subclasses
1865;D80.4;III;D80-D89;D80;(D80.4) Selective deficiency of immunoglobulin M [IgM]
1866;D80.5;III;D80-D89;D80;(D80.5) Immunodeficiency with increased immunoglobulin M [IgM]
1867;D80.6;III;D80-D89;D80;(D80.6) Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia
1868;D80.7;III;D80-D89;D80;(D80.7) Transient hypogammaglobulinaemia of infancy
1869;D80.8;III;D80-D89;D80;(D80.8) Other immunodeficiencies with predominantly antibody defects
1870;D80.9;III;D80-D89;D80;(D80.9) Immunodeficiency with predominantly antibody defects, unspecified
1871;D81;III;D80-D89;0;(D81) Combined immunodeficiencies
1872;D81.0;III;D80-D89;D81;(D81.0) Severe combined immunodeficiency [SCID] with reticular dysgenesis
1873;D81.1;III;D80-D89;D81;(D81.1) Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
1874;D81.2;III;D80-D89;D81;(D81.2) Severe combined immunodeficiency [SCID] with low or normal B-cell numbers
1875;D81.3;III;D80-D89;D81;(D81.3) Adenosine deaminase [ADA] deficiency
1876;D81.4;III;D80-D89;D81;(D81.4) Nezelof's syndrome
1877;D81.5;III;D80-D89;D81;(D81.5) Purine nucleoside phosphorylase [PNP] deficiency
1878;D81.6;III;D80-D89;D81;(D81.6) Major histocompatibility complex class I deficiency
1879;D81.7;III;D80-D89;D81;(D81.7) Major histocompatibility complex class II deficiency
1880;D81.8;III;D80-D89;D81;(D81.8) Other combined immunodeficiencies
1881;D81.9;III;D80-D89;D81;(D81.9) Combined immunodeficiency, unspecified
1882;D82;III;D80-D89;0;(D82) Immunodeficiency associated with other major defects
1883;D82.0;III;D80-D89;D82;(D82.0) Wiskott-Aldrich syndrome
1884;D82.1;III;D80-D89;D82;(D82.1) Di George's syndrome
1885;D82.2;III;D80-D89;D82;(D82.2) Immunodeficiency with short-limbed stature
1886;D82.3;III;D80-D89;D82;(D82.3) Immunodeficiency following hereditary defective response to Epstein-Barr virus
1887;D82.4;III;D80-D89;D82;(D82.4) Hyperimmunoglobulin E [IgE] syndrome
1888;D82.8;III;D80-D89;D82;(D82.8) Immunodeficiency associated with other specified major defects
1889;D82.9;III;D80-D89;D82;(D82.9) Immunodeficiency associated with major defect, unspecified
1890;D83;III;D80-D89;0;(D83) Common variable immunodeficiency
1891;D83.0;III;D80-D89;D83;(D83.0) Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
1892;D83.1;III;D80-D89;D83;(D83.1) Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
1893;D83.2;III;D80-D89;D83;(D83.2) Common variable immunodeficiency with autoantibodies to B- or T-cells
1894;D83.8;III;D80-D89;D83;(D83.8) Other common variable immunodeficiencies
1895;D83.9;III;D80-D89;D83;(D83.9) Common variable immunodeficiency, unspecified
1896;D84;III;D80-D89;0;(D84) Other immunodeficiencies
1897;D84.0;III;D80-D89;D84;(D84.0) Lymphocyte function antigen-1 [LFA-1] defect
1898;D84.1;III;D80-D89;D84;(D84.1) Defects in the complement system
1899;D84.8;III;D80-D89;D84;(D84.8) Other specified immunodeficiencies
1900;D84.9;III;D80-D89;D84;(D84.9) Immunodeficiency, unspecified
1901;D86;III;D80-D89;0;(D86) Sarcoidosis
1902;D86.0;III;D80-D89;D86;(D86.0) Sarcoidosis of lung
1903;D86.1;III;D80-D89;D86;(D86.1) Sarcoidosis of lymph nodes
1904;D86.2;III;D80-D89;D86;(D86.2) Sarcoidosis of lung with sarcoidosis of lymph nodes
1905;D86.3;III;D80-D89;D86;(D86.3) Sarcoidosis of skin
1906;D86.8;III;D80-D89;D86;(D86.8) Sarcoidosis of other and combined sites
1907;D86.9;III;D80-D89;D86;(D86.9) Sarcoidosis, unspecified
1908;D89;III;D80-D89;0;(D89) Other disorders involving the immune mechanism, not elsewhere classified
1909;D89.0;III;D80-D89;D89;(D89.0) Polyclonal hypergammaglobulinaemia
1910;D89.1;III;D80-D89;D89;(D89.1) Cryoglobulinaemia
1911;D89.2;III;D80-D89;D89;(D89.2) Hypergammaglobulinaemia, unspecified
1912;D89.8;III;D80-D89;D89;(D89.8) Other specified disorders involving the immune mechanism, not elsewhere classified
1913;D89.9;III;D80-D89;D89;(D89.9) Disorder involving the immune mechanism, unspecified
1914;IV;0;0;0;IV Endocrine, nutritional and metabolic diseases
1915;E00-E07;IV;0;0;(E00-E07) Disorders of thyroid gland
1916;E00;IV;E00-E07;0;(E00) Congenital iodine-deficiency syndrome
1917;E00.0;IV;E00-E07;E00;(E00.0) Congenital iodine-deficiency syndrome, neurological type
1918;E00.1;IV;E00-E07;E00;(E00.1) Congenital iodine-deficiency syndrome, myxoedematous type
1919;E00.2;IV;E00-E07;E00;(E00.2) Congenital iodine-deficiency syndrome, mixed type
1920;E00.9;IV;E00-E07;E00;(E00.9) Congenital iodine-deficiency syndrome, unspecified
1921;E01;IV;E00-E07;0;(E01) Iodine-deficiency-related thyroid disorders and allied conditions
1922;E01.0;IV;E00-E07;E01;(E01.0) Iodine-deficiency-related diffuse (endemic) goitre
1923;E01.1;IV;E00-E07;E01;(E01.1) Iodine-deficiency-related multinodular (endemic) goitre
1924;E01.2;IV;E00-E07;E01;(E01.2) Iodine-deficiency-related (endemic) goitre, unspecified
1925;E01.8;IV;E00-E07;E01;(E01.8) Other iodine-deficiency-related thyroid disorders and allied conditions
1926;E02;IV;E00-E07;0;(E02) Subclinical iodine-deficiency hypothyroidism
1927;E03;IV;E00-E07;0;(E03) Other hypothyroidism
1928;E03.0;IV;E00-E07;E03;(E03.0) Congenital hypothyroidism with diffuse goitre
1929;E03.1;IV;E00-E07;E03;(E03.1) Congenital hypothyroidism without goitre
1930;E03.2;IV;E00-E07;E03;(E03.2) Hypothyroidism due to medicaments and other exogenous substances
1931;E03.3;IV;E00-E07;E03;(E03.3) Postinfectious hypothyroidism
1932;E03.4;IV;E00-E07;E03;(E03.4) Atrophy of thyroid (acquired)
1933;E03.5;IV;E00-E07;E03;(E03.5) Myxoedema coma
1934;E03.8;IV;E00-E07;E03;(E03.8) Other specified hypothyroidism
1935;E03.9;IV;E00-E07;E03;(E03.9) Hypothyroidism, unspecified
1936;E04;IV;E00-E07;0;(E04) Other non-toxic goitre
1937;E04.0;IV;E00-E07;E04;(E04.0) Non-toxic diffuse goitre
1938;E04.1;IV;E00-E07;E04;(E04.1) Non-toxic single thyroid nodule
1939;E04.2;IV;E00-E07;E04;(E04.2) Non-toxic multinodular goitre
1940;E04.8;IV;E00-E07;E04;(E04.8) Other specified non-toxic goitre
1941;E04.9;IV;E00-E07;E04;(E04.9) Non-toxic goitre, unspecified
1942;E05;IV;E00-E07;0;(E05) Thyrotoxicosis [hyperthyroidism]
1943;E05.0;IV;E00-E07;E05;(E05.0) Thyrotoxicosis with diffuse goitre
1944;E05.1;IV;E00-E07;E05;(E05.1) Thyrotoxicosis with toxic single thyroid nodule
1945;E05.2;IV;E00-E07;E05;(E05.2) Thyrotoxicosis with toxic multinodular goitre
1946;E05.3;IV;E00-E07;E05;(E05.3) Thyrotoxicosis from ectopic thyroid tissue
1947;E05.4;IV;E00-E07;E05;(E05.4) Thyrotoxicosis factitia
1948;E05.5;IV;E00-E07;E05;(E05.5) Thyroid crisis or storm
1949;E05.8;IV;E00-E07;E05;(E05.8) Other thyrotoxicosis
1950;E05.9;IV;E00-E07;E05;(E05.9) Thyrotoxicosis, unspecified
1951;E06;IV;E00-E07;0;(E06) Thyroiditis
1952;E06.0;IV;E00-E07;E06;(E06.0) Acute thyroiditis
1953;E06.1;IV;E00-E07;E06;(E06.1) Subacute thyroiditis
1954;E06.2;IV;E00-E07;E06;(E06.2) Chronic thyroiditis with transient thyrotoxicosis
1955;E06.3;IV;E00-E07;E06;(E06.3) Autoimmune thyroiditis
1956;E06.4;IV;E00-E07;E06;(E06.4) Drug-induced thyroiditis
1957;E06.5;IV;E00-E07;E06;(E06.5) Other chronic thyroiditis
1958;E06.9;IV;E00-E07;E06;(E06.9) Thyroiditis, unspecified
1959;E07;IV;E00-E07;0;(E07) Other disorders of thyroid
1960;E07.0;IV;E00-E07;E07;(E07.0) Hypersecretion of calcitonin
1961;E07.1;IV;E00-E07;E07;(E07.1) Dyshormogenetic goitre
1962;E07.8;IV;E00-E07;E07;(E07.8) Other specified disorders of thyroid
1963;E07.9;IV;E00-E07;E07;(E07.9) Disorder of thyroid, unspecified
1964;E10-E14;IV;0;0;(E10-E14) Diabetes mellitus
1965;E10;IV;E10-E14;0;(E10) Insulin-dependent diabetes mellitus
1966;E10.0;IV;E10-E14;E10;(E10.0) With coma
1967;E10.1;IV;E10-E14;E10;(E10.1) With ketoacidosis
1968;E10.2;IV;E10-E14;E10;(E10.2) With renal complications
1969;E10.3;IV;E10-E14;E10;(E10.3) With ophthalmic complications
1970;E10.4;IV;E10-E14;E10;(E10.4) With neurological complications
1971;E10.5;IV;E10-E14;E10;(E10.5) With peripheral circulatory complications
1972;E10.6;IV;E10-E14;E10;(E10.6) With other specified complications
1973;E10.7;IV;E10-E14;E10;(E10.7) With multiple complications
1974;E10.8;IV;E10-E14;E10;(E10.8) With unspecified complications
1975;E10.9;IV;E10-E14;E10;(E10.9) Without complications
1976;E11;IV;E10-E14;0;(E11) Non-insulin-dependent diabetes mellitus
1977;E11.0;IV;E10-E14;E11;(E11.0) With coma
1978;E11.1;IV;E10-E14;E11;(E11.1) With ketoacidosis
1979;E11.2;IV;E10-E14;E11;(E11.2) With renal complications
1980;E11.3;IV;E10-E14;E11;(E11.3) With ophthalmic complications
1981;E11.4;IV;E10-E14;E11;(E11.4) With neurological complications
1982;E11.5;IV;E10-E14;E11;(E11.5) With peripheral circulatory complications
1983;E11.6;IV;E10-E14;E11;(E11.6) With other specified complications
1984;E11.7;IV;E10-E14;E11;(E11.7) With multiple complications
1985;E11.8;IV;E10-E14;E11;(E11.8) With unspecified complications
1986;E11.9;IV;E10-E14;E11;(E11.9) Without complications
1987;E12;IV;E10-E14;0;(E12) Malnutrition-related diabetes mellitus
1988;E12.0;IV;E10-E14;E12;(E12.0) With coma
1989;E12.1;IV;E10-E14;E12;(E12.1) With ketoacidosis
1990;E12.2;IV;E10-E14;E12;(E12.2) With renal complications
1991;E12.3;IV;E10-E14;E12;(E12.3) With ophthalmic complications
1992;E12.4;IV;E10-E14;E12;(E12.4) With neurological complications
1993;E12.5;IV;E10-E14;E12;(E12.5) With peripheral circulatory complications
1994;E12.6;IV;E10-E14;E12;(E12.6) With other specified complications
1995;E12.7;IV;E10-E14;E12;(E12.7) With multiple complications
1996;E12.8;IV;E10-E14;E12;(E12.8) With unspecified complications
1997;E12.9;IV;E10-E14;E12;(E12.9) Without complications
1998;E13;IV;E10-E14;0;(E13) Other specified diabetes mellitus
1999;E13.0;IV;E10-E14;E13;(E13.0) With coma
2000;E13.1;IV;E10-E14;E13;(E13.1) With ketoacidosis
2001;E13.2;IV;E10-E14;E13;(E13.2) With renal complications
2002;E13.3;IV;E10-E14;E13;(E13.3) With ophthalmic complications
2003;E13.4;IV;E10-E14;E13;(E13.4) With neurological complications
2004;E13.5;IV;E10-E14;E13;(E13.5) With peripheral circulatory complications
2005;E13.6;IV;E10-E14;E13;(E13.6) With other specified complications
2006;E13.7;IV;E10-E14;E13;(E13.7) With multiple complications
2007;E13.8;IV;E10-E14;E13;(E13.8) With unspecified complications
2008;E13.9;IV;E10-E14;E13;(E13.9) Without complications
2009;E14;IV;E10-E14;0;(E14) Unspecified diabetes mellitus
2010;E14.0;IV;E10-E14;E14;(E14.0) With coma
2011;E14.1;IV;E10-E14;E14;(E14.1) With ketoacidosis
2012;E14.2;IV;E10-E14;E14;(E14.2) Withrenal complications
2013;E14.3;IV;E10-E14;E14;(E14.3) With ophthalmic complications
2014;E14.4;IV;E10-E14;E14;(E14.4) With neurological complications
2015;E14.5;IV;E10-E14;E14;(E14.5) With peripheral circulatory complications
2016;E14.6;IV;E10-E14;E14;(E14.6) With other specified complications
2017;E14.7;IV;E10-E14;E14;(E14.7) With multiple complications
2018;E14.8;IV;E10-E14;E14;(E14.8) With unspecified complications
2019;E14.9;IV;E10-E14;E14;(E14.9) Without complications
2020;E15-E16;IV;0;0;(E15-E16) Other disorders of glucose regulation and pancreatic internal secretion
2021;E15;IV;E15-E16;0;(E15) Nondiabetic hypoglycaemic coma
2022;E16;IV;E15-E16;0;(E16) Other disorders of pancreatic internal secretion
2023;E16.0;IV;E15-E16;E16;(E16.0) Drug-induced hypoglycaemia without coma
2024;E16.1;IV;E15-E16;E16;(E16.1) Other hypoglycaemia
2025;E16.2;IV;E15-E16;E16;(E16.2) Hypoglycaemia, unspecified
2026;E16.3;IV;E15-E16;E16;(E16.3) Increased secretion of glucagon
2027;E16.4;IV;E15-E16;E16;(E16.4) Abnormal secretion of gastrin
2028;E16.8;IV;E15-E16;E16;(E16.8) Other specified disorders of pancreatic internal secretion
2029;E16.9;IV;E15-E16;E16;(E16.9) Disorder of pancreatic internal secretion, unspecified
2030;E20-E35;IV;0;0;(E20-E35) Disorders of other endocrine glands
2031;E20;IV;E20-E35;0;(E20) Hypoparathyroidism
2032;E20.0;IV;E20-E35;E20;(E20.0) Idiopathic hypoparathyroidism
2033;E20.1;IV;E20-E35;E20;(E20.1) Pseudohypoparathyroidism
2034;E20.8;IV;E20-E35;E20;(E20.8) Other hypoparathyroidism
2035;E20.9;IV;E20-E35;E20;(E20.9) Hypoparathyroidism, unspecified
2036;E21;IV;E20-E35;0;(E21) Hyperparathyroidism and other disorders of parathyroid gland
2037;E21.0;IV;E20-E35;E21;(E21.0) Primary hyperparathyroidism
2038;E21.1;IV;E20-E35;E21;(E21.1) Secondary hyperparathyroidism, not elsewhere classified
2039;E21.2;IV;E20-E35;E21;(E21.2) Other hyperparathyroidism
