id;code;name;address;region;province;city;barangay;zip;landline;cellphone;fax;email;email2;website;ownership;type;status
4304;DOH000000000004739;SAN GABRIEL BARANGAY HEALTH STATION;;Region 8;EASTERN SAMAR;MAYDOLONG;SAN GABRIEL;;;;;;;;Government;Barangay Health Station;Active
4305;DOH000000000004740;SAN ISIDRO BARANGAY HEALTH STATION;;Region 9;ZAMBOANGA DEL SUR;MAHAYAG;SAN ISIDRO;;;;;;;;Government;Barangay Health Station;Active
4306;DOH000000000004741;ST. CATHERINE HOSPITAL;;Region 1;LA UNION;BANGAR;CENTRAL EAST NO.  1 (POB.);;;0929-748-2052;;;;;Private;Hospital;Active
4307;DOH000000000004743;DR. IGNACIO M. CORTES GENERAL HOSPITAL, INC;S.B. Cabahug, Mandaue City;Region 7;CEBU;MANDAUE CITY;;;;;;;;;Private;Hospital;Active
4308;DOH000000000004746;CABUYAO RURAL HEALTH UNIT II;;Region 4A;LAGUNA;CABUYAO;;;;;;;;;Government;Rural Health Unit;Active
4309;DOH000000000004747;CONSOLACION LYING IN CLINIC (DR. VERONICA ALIVIO);;Region 7;CEBU;;;;;;;;;;Government;Rural Health Unit;Active
4310;DOH000000000004748;BATBATO BARANGAY HEALTH STATION;;Region 1;ILOCOS SUR;ALILEM;BATBATO;;;;;;;;Government;Barangay Health Station;Active
4311;DOH000000000004749;TUDELA RURAL HEALTH UNIT;;Region 10;MISAMIS OCCIDENTAL;TUDELA;;7202;;;;;;;Government;Rural Health Unit;Active
4312;DOH000000000004750;VITALEZ HEALTH CENTER;Jaime Street;NCR;NCR, FOURTH DISTRICT (Not a Province);CITY OF PARA?AQUE;VITALEZ;;none;none;none;;;;Government;Barangay Health Station;Active
4313;DOH000000000004752;PROSPERIDAD RURAL HEALTH UNIT;BahbahPatin-ay, Prosperidad, ADS;CARAGA;AGUSAN DEL SUR;PROSPERIDAD (Capital);POBLACION (BAHBAH);8500;(085)3437184;;(085)2418020;;;;Government;Rural Health Unit;Active
4314;DOH000000000004753;CASTILLEJOS RURAL HEALTH UNIT;;Region 3;ZAMBALES;CASTILLEJOS;;2208;(047)6241035;;;;;;Government;Rural Health Unit;Active
4315;DOH000000000004754;SANTA ANA RURAL HEALTH UNIT;;Region 3;PAMPANGA;SANTA ANA;;2011;(045)3434218;;;;;;Government;Rural Health Unit;Active
4316;DOH000000000004757;PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC. BALER- AURORA;;Region 3;AURORA;BALER  (Capital);SUCLAYIN;;;;;;;;Private;Hospital;Active
4317;DOH000000000004759;MAMBUSAO DISTRICT HOSPITAL;;Region 6;CAPIZ;MAMBUSAO;;;;;;;;;Government;Hospital;Active
4318;DOH000000000004760;MANANGAN CLINIC AND HOSPITAL;;ARMM;MAGUINDANAO;BULUAN;POBLACION;;0906-6936555;0916-4715747;;;;;Private;Hospital;Active
4319;DOH000000000004762;KABAYANAN PUERICULTURE FAMILY PLANNING CENTER;157 F. Blumentritt Street;NCR;NCR, SECOND DISTRICT (Not a Province);SAN JUAN;KABAYANAN;;none;none;none;;;;Government;Rural Health Unit;Active
4320;DOH000000000004766;ST. JOSEPH MEDICAL CLINIC;Magallanes, Agusan del Norte;CARAGA;AGUSAN DEL NORTE;MAGALLANES;;;085-3430548;;;;;;Private;Hospital;Active
4321;DOH000000000004769;BOBON BARANGAY HEALTH STATION;;Region 1;ILOCOS NORTE;BURGOS;BOBON;;;;;;;;Government;Barangay Health Station;Active
4322;DOH000000000004770;BUGA BARANGAY HEALTH STATION;;Region 5;ALBAY;LIBON;BUGA;;;;;;;;Government;Barangay Health Station;Active
4323;DOH000000000004771;CABUGAO BARANGAY HEALTH STATION;;Region 6;CAPIZ;ROXAS CITY (Capital);CABUGAO;;;;;;;;Government;Barangay Health Station;Active
4324;DOH000000000004773;LA UNION BARANGAY HEALTH STATION;La Union;Region 11;DAVAO DEL SUR;HAGONOY;LA UNION;;;;;;;;Government;Barangay Health Station;Active
4325;DOH000000000004774;SAN AGUSTIN BARANGAY HEALTH STATION;San Agustin;Region 11;DAVAO DEL SUR;SANTA MARIA;SAN AGUSTIN;;;;;;;;Government;Barangay Health Station;Active
4326;DOH000000000004775;TANAP BARANGAY HEALTH STATION;;Region 1;ILOCOS NORTE;BURGOS;TANAP;;;;;;;;Government;Barangay Health Station;Active
4327;DOH000000000004776;AL-BARKA RURAL HEALTH UNIT;;ARMM;BASILAN;AL-BARKA;;;none;9065405191;none;;;;Government;Rural Health Unit;Active
4328;DOH000000000004777;RAPU-RAPU RURAL HEALTH UNIT;;Region 5;ALBAY;RAPU-RAPU;POBLACION;;21;21;21;;;;Government;Rural Health Unit;Active
4329;DOH000000000004778;GARLANG BARANGAY HEALTH STATION;;Region 3;BULACAN;SAN ILDEFONSO;GARLANG;;;;;;;;Government;Barangay Health Station;Active
4330;DOH000000000004780;BUENAVISTA RURAL HEALTH UNIT;;Region 7;BOHOL;BUENAVISTA;BANTUAN;6333;(038) 5133975;;;;;;Government;Rural Health Unit;Active
4331;DOH000000000004782;OTON RURAL HEALTH UNIT;Mabini St.;Region 6;ILOILO;OTON;POBLACION EAST;5020;(033) 3373631;;;;;;Government;Rural Health Unit;Active
4332;DOH000000000004783;BONGAO RURAL HEALTH UNIT;;ARMM;TAWI-TAWI;BONGAO;PAG-ASA;7500;(068) 2681036;;;;;;Government;Rural Health Unit;Active
4333;DOH000000000004785;SANTA CRUZ RURAL HEALTH UNIT I;;Region 3;ZAMBALES;SANTA CRUZ;;2213;;;;;;;Government;Rural Health Unit;Active
4334;DOH000000000004786;IBAAN RURAL HEALTH UNIT;Ibaan Poblacion;Region 4A;BATANGAS;IBAAN;POBLACION;4230;(043) 3111566;;3112817;;;;Government;Rural Health Unit;Active
4335;DOH000000000004790;NORTHERN CAGAYAN DISTRICT HOSPITAL;Maharlika Hiway San Andres, Sanchez Mira, Cagayan;Region 2;CAGAYAN;SANCHEZ-MIRA;SAN ANDRES;;;;;;;;Government;Hospital;Active
4336;DOH000000000004791;SAN MARCELINO DISTRICT HOSPITAL;;Region 3;ZAMBALES;SAN MARCELINO;;;(047)6232301;;;;;;Government;Hospital;Active
4337;DOH000000000004792;FLORDELIZ MEDICAL CLINIC;;Region 11;COMPOSTELA VALLEY;MAWAB;;;;;;;;;Private;Hospital;Active
4338;DOH000000000004793;CABATUAN FAMILY CLINIC AND HOSPITAL;;Region 2;ISABELA;CABATUAN;CENTRO (POB.);;;;;;;;Private;Hospital;Active
4339;DOH000000000004794;RIVERA MEDICAL CENTER, INC.;7302 National Highway;Region 11;DAVAO DEL NORTE;CITY OF PANABO;SAN FRANCISCO (POB.);;084-6285234;;;;;;Private;Hospital;Active
4340;DOH000000000004795;FIRST FILIPINO SAINT HOSPITAL;Gov. Drive;Region 4A;CAVITE;NAIC;SAN ROQUE;;;;;;;;Private;Hospital;Active
4341;DOH000000000004796;OVERSEAS CONTRACT WORKERS GENERAL HOSPITAL;39 T. Sora Ave.;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;CULIAT;;9313529;;;;;;Private;Hospital;Active
4342;DOH000000000004797;OZAMIS CITY ST JOSEPH GENERAL HOSPITAL;Washington St.;Region 10;MISAMIS OCCIDENTAL;OZAMIS CITY;;;;;;;;;Private;Hospital;Active
4343;DOH000000000004798;PAGADIAN CITY MEDICAL CENTER;Cabrera Street,San Francisco District;Region 9;ZAMBOANGA DEL SUR;PAGADIAN CITY (Capital);SAN FRANCISCO (POB.);;062 2143237;;;;;;Private;Hospital;Active
4344;DOH000000000004799;SAN LAZARO HOSPITAL;;NCR;NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province);SANTA CRUZ;BARANGAY 331;;;;;;;;Government;Hospital;Active
4345;DOH000000000004801;ST. ANNE GENERAL HOSPITAL, INC.;P. Gomez Extension;Region 4A;QUEZON;LUCENA CITY (Capital);IBABANG DUPAY;;;;;;;;Private;Hospital;Active
4346;DOH000000000004803;STA. RITA DE BACLARAN HOSPITAL;;NCR;NCR, FOURTH DISTRICT (Not a Province);CITY OF PARA?AQUE;BACLARAN;;;;;;;;Private;Hospital;Active
4347;DOH000000000004804;TANHO MEDICAL CLINIC;Vallejos St.;Region 10;MISAMIS OCCIDENTAL;PLARIDEL;SOUTHERN POBLACION;;;;;;;;Private;Hospital;Active
4348;DOH000000000004806;A. H. LACSON HEALTH CENTER;Plaza Hugo;NCR;NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province);SANTA ANA;BARANGAY 884;;;;;;;;Government;Rural Health Unit;Active
4349;DOH000000000004807;E. RODRIGUEZ HEALTH CENTER;;NCR;NCR, THIRD DISTRICT (Not a Province);KALOOKAN CITY;;;;;;;;;Government;Rural Health Unit;Active
4350;DOH000000000004809;BAYAMBANG MAIN HEALTH CENTER I - A;;Region 1;PANGASINAN;BAYAMBANG;ZONE I (POB.);;;;;;;;Government;Main Health Center;Active
4351;DOH000000000004810;BOLILA BARANGAY HEALTH STATION;Bolila;Region 11;DAVAO DEL SUR;MALITA;BOLILA;;;;;;;;Government;Barangay Health Station;Active
4352;DOH000000000004811;BONBON BARANGAY HEALTH STATION;;Region 5;ALBAY;LIBON;BONBON;;;;;;;;Government;Barangay Health Station;Active
4353;DOH000000000004812;BONGA BARANGAY HEALTH STATION;;Region 5;ALBAY;BACACAY;BONGA (UPPER);;;;;;;;Government;Barangay Health Station;Active
4354;DOH000000000004814;CABULOAN BARANGAY HEALTH STATION;;Region 1;PANGASINAN;CITY OF URDANETA;CABULOAN;;;;;;;;Government;Barangay Health Station;Active
4355;DOH000000000004818;ESTHER HOSPITAL;P2, Pob., Highway;Region 10;BUKIDNON;CITY OF VALENCIA;;;;;;;;;Private;Hospital;Active
4356;DOH000000000004820;MAGDUG BARANGAY HEALTH STATION;Magdug;Region 11;DAVAO ORIENTAL;GOVERNOR GENEROSO;MAGDUG;;;;;;;;Government;Barangay Health Station;Active
4357;DOH000000000004821;MESAOY BARANGAY HEALTH STATION;;Region 11;DAVAO DEL NORTE;NEW CORELLA;MESAOY;;;;;;;;Government;Barangay Health Station;Active
4358;DOH000000000004822;MAGUING RURAL HEALTH UNIT;;ARMM;LANAO DEL SUR;MAGUING;;;;;;;;;Government;Rural Health Unit;Active
4359;DOH000000000004823;SAN ANDRES (CALOLBON) MUNICIPAL HEALTH OFFICE;;Region 5;CATANDUANES;SAN ANDRES (CALOLBON);;4810;;;;;;;Government;Municipal Health Office;Active
4360;DOH000000000004826;PONG-OY BARANGAY HEALTH STATION;Brgy. Pong-oy. Southern Leyte;Region 8;SOUTHERN LEYTE;SAN JUAN (CABALIAN);PONG-OY;;;;;;;;Government;Barangay Health Station;Active
4361;DOH000000000004827;SAN JOSE BARANGAY HEALTH STATION;;Region 3;BULACAN;SAN MIGUEL;SAN JOSE;;;;;;;;Government;Barangay Health Station;Active
4362;DOH000000000004829;SILAGO RURAL HEALTH UNIT;Silago, Southern Leyte;Region 8;SOUTHERN LEYTE;SILAGO;;;;;;;;;Government;Rural Health Unit;Active
4363;DOH000000000004830;MALOLOS SAN VICENTE HOSPITAL;;Region 3;BULACAN;CITY OF MALOLOS  (Capital);CANIOGAN;;;;;;;;Private;Hospital;Active
4364;DOH000000000004831;CALBAYOG DISTRICT HOSPITAL;Burgos Street;Region 8;SAMAR (WESTERN SAMAR);CALBAYOG CITY;AWANG EAST (POB.);;209-1566;;;;;;Government;Hospital;Active
4365;DOH000000000004836;F.M. CRUZ ORTHOPEDIC AND GENERAL HOSPITAL;Do?a Remedios Trinidad Highway;Region 3;BULACAN;PULILAN;;;(044)6761739;;;;;;Private;Hospital;Active
4366;DOH000000000004841;CAINTA RURAL HEALTH UNIT III (ST. FRANCIS);;Region 4A;RIZAL;CAINTA;SAN JUAN;;;;;;;;Government;Rural Health Unit;Active
4367;DOH000000000004843;BANAO BARANGAY HEALTH STATION;Banao;Region 11;DAVAO ORIENTAL;BAGANGA;BANAO;;;;;;;;Government;Barangay Health Station;Active
4368;DOH000000000004844;CAWAYAN BARANGAY HEALTH STATION;;Region 5;ALBAY;BACACAY;CAWAYAN;;;;;;;;Government;Barangay Health Station;Active
4369;DOH000000000004845;MABILBILA BARANGAY HEALTH STATION;;Region 1;ILOCOS SUR;SANTA;MABILBILA NORTE;;;;;;;;Government;Barangay Health Station;Active
4370;DOH000000000004848;ITOGON RURAL HEALTH UNIT;;CAR;BENGUET;ITOGON;POBLACION (CENTRAL);2604;;;;;;;Government;Rural Health Unit;Active
4371;DOH000000000004851;LABO RURAL HEALTH UNIT III;Labo, Camarines Norte;Region 5;CAMARINES NORTE;LABO;;4604;none;9278616823;none;;;;Government;Rural Health Unit;Active
4372;DOH000000000004852;SANTA CRUZ RURAL HEALTH UNIT;;Region 1;ILOCOS SUR;SANTA CRUZ;;;;;;;;;Government;Rural Health Unit;Active
4373;DOH000000000004855;CALATRAVA RURAL HEALTH UNIT;;Region 4B;ROMBLON;CALATRAVA;POBLACION;5503;;9202257026;;;;;Government;Rural Health Unit;Active
4374;DOH000000000004859;SANTO NI?O DE CASIPIT GENERAL HOSPITAL;;Region 1;PANGASINAN;LINGAYEN (Capital);;;75-542-6116;;;;;;Private;Hospital;Active
4375;DOH000000000004861;LU CLINIC AND HOSPITAL;National Highway, Tacurong City;Region 12;SULTAN KUDARAT;CITY OF TACURONG;;;064-2003168;;;;;;Private;Hospital;Active
4376;DOH000000000004862;LUCAS-PAGUILA MEDICAL CLINIC;Rizal St.;Region 2;ISABELA;ALICIA;MAGSAYSAY (POB.);;;;;;;;Private;Hospital;Active
4377;DOH000000000004863;PADRE BURGOS COMMUNITY HOSPITAL;;Region 8;SOUTHERN LEYTE;PADRE BURGOS;SANTA SOFIA;;;;;;;;Government;Hospital;Active
4378;DOH000000000004869;NAGUILIAN MUNICIPAL HEALTH OFFICE;;Region 1;LA UNION;NAGUILIAN;ORTIZ (POB.);2511;(072)6091144;;(072)6091135;;;;Government;Municipal Health Office;Active
4379;DOH000000000004870;GUIMBA RURAL HEALTH UNIT I;;Region 3;NUEVA ECIJA;GUIMBA;;3115;(044) 611-7950;9295314477;(044) 611-7950;;;;Government;Rural Health Unit;Active
4380;DOH000000000004874;MARALAG BARANGAY HEALTH STATION;;Region 9;ZAMBOANGA DEL NORTE;JOSE DALMAN (PONOT);MADALAG;;;;;;;;Government;Barangay Health Station;Active
4381;DOH000000000004877;DARAGA (LOCSIN) MUNICIPAL HEALTH OFFICE;P. Burgos corner T. Perez;Region 5;ALBAY;DARAGA (LOCSIN);;4501;483-5325;;;;;;Government;Municipal Health Office;Active
4382;DOH000000000004881;TINOC RURAL HEALTH UNIT;;CAR;IFUGAO;TINOC;;3609;;;;;;;Government;Rural Health Unit;Active
4383;DOH000000000004885;PALMA-MALALUAN HOSPITAL;J. Magtibay Street;Region 4A;BATANGAS;ROSARIO;;;;;;;;;Private;Hospital;Active
4384;DOH000000000004887;GEN. MARIANO ALVAREZ RURAL HEALTH UNIT I;;Region 4A;CAVITE;GEN. MARIANO ALVAREZ;GREGORIA DE JESUS;;;;;;;;Government;Rural Health Unit;Active
4385;DOH000000000004888;KAPITOLYO PUERICULTURE CENTER;;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;;;;;;;;;Government;Rural Health Unit;Active
4386;DOH000000000004889;PINEDA HEALTH CENTER;Banaag Street, Purok 3;NCR;NCR, SECOND DISTRICT (Not a Province);CITY OF PASIG;PINEDA;1600;631-9364;none;none;;;;Government;Rural Health Unit;Active
4387;DOH000000000004891;SANTA MARIA RURAL HEALTH UNIT II;;Region 3;BULACAN;SANTA MARIA;;;;;;;;;Government;Rural Health Unit;Active
4388;DOH000000000004894;LINOSUTAN BARANGAY HEALTH STATION;;Region 11;DAVAO DEL NORTE;ISLAND GARDEN CITY OF SAMAL;LINOSUTAN;;;;;;;;Government;Barangay Health Station;Active
4389;DOH000000000004895;LIPAY BARANGAY HEALTH STATION;;Region 1;PANGASINAN;VILLASIS;LIPAY;;;;;;;;Government;Barangay Health Station;Active
4390;DOH000000000004896;PALTIC BARANGAY HEALTH STATION;;Region 3;AURORA;DINGALAN;PALTIC;;;;;;;;Government;Barangay Health Station;Active
4391;DOH000000000004899;ANTEQUERA RURAL HEALTH UNIT;;Region 7;BOHOL;ANTEQUERA;;6335;(038) 5065007;;;;;;Government;Rural Health Unit;Active
4392;DOH000000000004900;NAGA CITY HEALTH OFFICE;J. Miranda Avenue;Region 5;CAMARINES SUR;NAGA CITY;;4400;(054) 811-2562;;;;;;Government;City Health Office;Active
4393;DOH000000000004901;SAN ISIDRO RURAL HEALTH UNIT I;;Region 3;NUEVA ECIJA;SAN ISIDRO;;;(044) 486-7353;none;none;;;;Government;Rural Health Unit;Active
4394;DOH000000000004902;TABUELAN RURAL HEALTH UNIT;;Region 7;CEBU;TABUELAN;POBLACION;;(032) 461-5720;9275904780;none;;;;Government;Rural Health Unit;Active
4395;DOH000000000004905;TUBUNGAN RURAL HEALTH UNIT;Teniento Benito St.;Region 6;ILOILO;TUBUNGAN;;5027;;;;;;;Government;Rural Health Unit;Active
4396;DOH000000000004911;BAYBAY BARANGAY HEALTH STATION;Baybay;Region 11;DAVAO DEL SUR;MALALAG;BAYBAY;;;;;;;;Government;Barangay Health Station;Active
4397;DOH000000000004914;SARA DISTRICT HOSPITAL;;Region 6;ILOILO;SARA;;;;;;;;;Government;Hospital;Active
4398;DOH000000000004917;BANICAIN RURAL HEALTH UNIT;;Region 3;ZAMBALES;OLONGAPO CITY;BANICAIN;;;;;;;;Government;Rural Health Unit;Active
4399;DOH000000000004918;BARCELONA MAIN HEALTH CENTER;;Region 9;ZAMBOANGA DEL NORTE;;;;;;;;;;Government;Rural Health Unit;Active
4400;DOH000000000004919;SERGIO OSME?A SR. RURAL HEALTH UNIT;;Region 9;ZAMBOANGA DEL NORTE;SERGIO OSME?A SR.;;7108;(065)3116346;9165030223;;;;;Government;Rural Health Unit;Active
4401;DOH000000000004920;BONGSOSO BARANGAY HEALTH STATION;;Region 6;CAPIZ;;;;;;;;;;Government;Barangay Health Station;Active
4402;DOH000000000004923;CATUBIG DISTRICT HOSPITAL;F. de Asis;Region 8;NORTHERN SAMAR;CATUBIG;BARANGAY 1 (POB.);;;;;;;;Government;Hospital;Active
4403;DOH000000000004924;ST. MAGDALENE HOSPITAL;0218 Bonifacio Street;Region 4B;OCCIDENTAL MINDORO;SAN JOSE;BARANGAY 3 (POB.);;(043)4911287;;;;;;Private;Hospital;Active
4404;DOH000000000004925;GERONA RURAL HEALTH UNIT I;;Region 3;TARLAC;GERONA;;2302;(045)6080503;;;;;;Government;Rural Health Unit;Active
4405;DOH000000000004926;GIG OCA ROBLES SEAMEN'S HOSPITAL;R. Castillo St.;Region 11;DAVAO DEL SUR;DAVAO CITY;;;082-2347185;;;;;;Private;Hospital;Active
4406;DOH000000000004927;EXCELLENT COMMUNITY CARE CENTER;141 Roosevelt Ave.;NCR;NCR, SECOND DISTRICT (Not a Province);QUEZON CITY;PARAISO;;3746200;;4138411;;;;Private;Hospital;Active
4407;DOH000000000004929;IVANA RURAL HEALTH UNIT;;Region 2;BATANES;IVANA;RADIWAN;3902;;9196398854;;;;;Government;Rural Health Unit;Active
4408;DOH000000000004930;PARACALE RURAL HEALTH UNIT;Paracale, Camarines Norte;Region 5;CAMARINES NORTE;PARACALE;;4605;;;;;;;Government;Rural Health Unit;Active
4409;DOH000000000004931;LAGUM BARANGAY HEALTH STATION;;Region 2;CAGAYAN;PE?ABLANCA;;;;;;;;;Government;Barangay Health Station;Active
4410;DOH000000000004933;MANGUDADATU RURAL HEALTH UNIT;;ARMM;MAGUINDANAO;MANGUDADATU;;9619;none;9276044866;none;;;;Government;Rural Health Unit;Active
4411;DOH000000000004934;TUY GENERAL HOSPITAL;No. 6 P. Burgos Street;Region 4A;BATANGAS;TUY;;;;;;;;;Private;Hospital;Active
4412;DOH000000000004935;ZMK DOCTORS CLINIC & HOSPITAL;Pedion St.;Region 12;SOUTH COTABATO;SANTO NI?O;POBLACION;;083-2351003;;;;;;Private;Hospital;Active
4413;DOH000000000004936;LOURDES NORTH WEST RURAL HEALTH UNIT;;Region 3;PAMPANGA;ANGELES CITY;LOURDES NORTH WEST;;;;;;;;Government;Rural Health Unit;Active
4414;DOH000000000004937;KASIBU RURAL HEALTH UNIT;;Region 2;NUEVA VIZCAYA;KASIBU;POBLACION (ALLOY);;;;;;;;Government;Rural Health Unit;Active
4415;DOH000000000004938;BALOGO BARANGAY HEALTH STATION;;Region 5;ALBAY;OAS;BALOGO;;;;;;;;Government;Barangay Health Station;Active
4416;DOH000000000004939;BALOGO BARANGAY HEALTH STATION;;Region 6;CAPIZ;PILAR;BALOGO;;;;;;;;Government;Barangay Health Station;Active
4417;DOH000000000004940;CULASI BARANGAY HEALTH STATION;;Region 6;CAPIZ;ROXAS CITY (Capital);CULASI;;;;;;;;Government;Barangay Health Station;Active
4418;DOH000000000004941;PALACPAC BARANGAY HEALTH STATION;;Region 1;PANGASINAN;POZZORUBIO;PALACPALAC;;;;;;;;Government;Barangay Health Station;Active
4419;DOH000000000004942;PALAGUIAN BARANGAY HEALTH STATION;;Region 6;CAPIZ;MA-AYON;PALAGUIAN;;;;;;;;Government;Barangay Health Station;Active
4420;DOH000000000004943;POBLACION BARANGAY HEALTH STATION;;Region 11;DAVAO DEL NORTE;NEW CORELLA;POBLACION;;;;;;;;Government;Barangay Health Station;Active
4421;DOH000000000004944;SANTO ANGEL BARANGAY HEALTH STATION;;Region 6;CAPIZ;DUMALAG;SANTO ANGEL;;;;;;;;Government;Barangay Health Station;Active
4422;DOH000000000004946;TANZA NORTE BARANGAY HEALTH STATION;;Region 6;CAPIZ;PANAY;TANZA NORTE;;;;;;;;Government;Barangay Health Station;Active
4423;DOH000000000004948;GUMACA MAIN HEALTH CENTER;Maharlika Highway;Region 4A;QUEZON;GUMACA;PIPISIK (POB.);4307;(042) 317-6226;;(042) 317-7591;;;;Government;Main Health Center;Active
4424;DOH000000000004950;BAIS CITY HEALTH OFFICE;Upper Juan Luna St.City Hall Compound;Region 7;NEGROS ORIENTAL;BAIS CITY;;;402-0101;none;402-3179;;;;Government;City Health Office;Active
4425;DOH000000000004951;PINAMUNGAHAN RURAL HEALTH UNIT;;Region 7;CEBU;PINAMUNGAHAN;POBLACION;;(032) 468-5521;9275904780;none;;;;Government;Rural Health Unit;Active
4426;DOH000000000004953;SIBONGA RURAL HEALTH UNIT;;Region 7;CEBU;SIBONGA;POBLACION;;(032) 486-9770;9183509248;none;;;;Government;Rural Health Unit;Active
4427;DOH000000000004954;KALAWAAN HEALTH CENTER;Sitio Cuevas Resettlement;NCR;NCR, SECOND DISTRICT (Not a Province);CITY OF PASIG;KALAWAAN;1601;642-5648;none;none;;;;Government;Rural Health Unit;Active
4428;DOH000000000004955;DAGAMI RURAL HEALTH UNIT;Real;Region 8;LEYTE;DAGAMI;SAN JOSE POB. (DIST.  1);;;;;;;;Government;Rural Health Unit;Active
4429;DOH000000000004956;ST MATTHEUS MEDICAL HOSPITAL;60 General Luna Street;Region 4A;RIZAL;SAN MATEO;BANABA;;;;;;;;Private;Hospital;Active
4430;DOH000000000004957;OLUTANGA MUNICIPAL HOSPITAL;Bateria, Olutanga, Zamboanga Sibugay;Region 9;ZAMBOANGA SIBUGAY;OLUTANGA;BATERIA;;;9289340411;;;;;Government;Hospital;Active
4431;DOH000000000004958;SAGAY RURAL HEALTH UNIT;;Region 10;CAMIGUIN;SAGAY;ALANGILAN;9103;;;;;;;Government;Rural Health Unit;Active
4432;DOH000000000004959;MAYOR JOAQUIN G. MACIAS MEMORIAL HOSPITAL;;Region 9;ZAMBOANGA DEL NORTE;SINDANGAN;GOLEO;;065 2242158;;;;;;Private;Hospital;Active
4433;DOH000000000004961;TABANGO COMMUNITY HOSPITAL;Shamrock;Region 8;LEYTE;TABANGO;POBLACION;;;;;;;;Government;Hospital;Active
4434;DOH000000000004962;TUAO RURAL HEALTH UNIT I;;Region 2;CAGAYAN;TUAO;POBLACION I (WARD I CENTRO);3528;;;;;;;Government;Rural Health Unit;Active
4435;DOH000000000004964;CAMPO ISLAM MAIN HEALTH CENTER;;Region 9;ZAMBOANGA DEL SUR;ZAMBOANGA CITY;CAMPO ISLAM;7000;(062)9830986;;;;;;Government;Main Health Center;Active
4436;DOH000000000004965;OBRERO POB. (BGY. 18) MAIN HEALTH CENTER;;CARAGA;AGUSAN DEL NORTE;BUTUAN CITY (Capital);OBRERO POB. (BGY. 18);8600;(085)8156017;9194686942;none;;;;Government;Main Health Center;Active
4437;DOH000000000004967;CALAMBA DISTRICT HOSPITAL;Pob., Calamba;Region 10;MISAMIS OCCIDENTAL;CALAMBA;;;;;;;;;Private;Hospital;Active
4438;DOH000000000004968;CAMP PERALTA STATION HOSPITAL;;Region 6;CAPIZ;JAMINDAN;;;;;;;;;Government;Hospital;Active
4439;DOH000000000004969;CAMP NAVARRO GENERAL HOSPITAL;;Region 9;ZAMBOANGA DEL SUR;ZAMBOANGA CITY;CALARIAN;;9931204;;;;;;Government;Hospital;Active
4440;DOH000000000004970;GAMAY DISTRICT HOSPITAL;corner San Miguel Flower Street;Region 8;NORTHERN SAMAR;GAMAY;BAYBAY DISTRICT (POB.);;;;;;;;Government;Hospital;Active
4441;DOH000000000004971;GENERAL SANTOS DOCTORS HOSPITAL, INC.;Santiago blvd. National Highway;Region 12;SOUTH COTABATO;GENERAL SANTOS CITY (DADIANGAS);LAGAO (1ST & 3RD);;083-5524990;;;;;;Private;Hospital;Active
4442;DOH000000000004972;SAN NARCISO MUNICIPAL HOSPITAL;;Region 4A;QUEZON;SAN NARCISO;BAYANIHAN (POB.);;;;;;;;Government;Hospital;Active
4443;DOH000000000004974;STO. TOMAS GENERAL HOSPITAL;Pres. Laurel Highway;Region 4A;BATANGAS;SANTO TOMAS;;;;;;;;;Private;Hospital;Active
4444;DOH000000000004975;ZAMBOANGA PENINSULA MEDICAL CENTER (FORMERLY ZAMBOANGA CHILDREN'S HOSPITAL, INC.);Pilar St.;Region 9;ZAMBOANGA DEL SUR;ZAMBOANGA CITY;;;062 9913870;;;;;;Private;Hospital;Active
4445;DOH000000000004976;AMPARO HEALTH CENTER;;NCR;NCR, THIRD DISTRICT (Not a Province);KALOOKAN CITY;BARANGAY 179;;;;;;;;Government;Rural Health Unit;Active
4446;DOH000000000004977;CAA-C HEALTH CENTER;Malunggay Street;NCR;NCR, FOURTH DISTRICT (Not a Province);CITY OF LAS PI?AS;B. F. INTERNATIONAL VILLAGE;;;;;;;;Government;Rural Health Unit;Active
4447;DOH000000000004980;BINMALEY MAIN HEALTH CENTER II;;Region 1;PANGASINAN;BINMALEY;CAMALEY;;;;;;;;Government;Main Health Center;Active
4448;DOH000000000004981;SANTA LUCIA RURAL HEALTH UNIT;Angkilena St.;Region 1;ILOCOS SUR;SANTA LUCIA;;;;;;;;;Government;Rural Health Unit;Active
4449;DOH000000000004982;BASING BARANGAY HEALTH STATION;;Region 1;PANGASINAN;LINGAYEN (Capital);BASING;;;;;;;;Government;Barangay Health Station;Active
4450;DOH000000000004983;BATAKIL BARANGAY HEALTH STATION;;Region 1;PANGASINAN;POZZORUBIO;BATAKIL;;;;;;;;Government;Barangay Health Station;Active
4451;DOH000000000004984;CALIT BARANGAY HEALTH STATION;;Region 1;PANGASINAN;BINMALEY;CALIT;;;;;;;;Government;Barangay Health Station;Active
4452;DOH000000000004985;CASTRO BARANGAY HEALTH STATION;;Region 1;LA UNION;SUDIPEN;CASTRO;;;;;;;;Government;Barangay Health Station;Active
4453;DOH000000000004986;DAMAYAN BARANGAY HEALTH STATION;;Region 6;CAPIZ;SAPI-AN;DAMAYAN;;;;;;;;Government;Barangay Health Station;Active
