id;test_id;test_name;result_id;result;loinc_code;loinc_attribute;updated;method
547;ACYLG;Acylglycines, Quantitative, Urine;21014;Isobutyrylglycine;38360-4;Isobutyrylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
548;ACYLG;Acylglycines, Quantitative, Urine;23387;n-Butyrylglycine;27892-9;Butyrylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
549;ACYLG;Acylglycines, Quantitative, Urine;21017;n-Octanoylglycine;38367-9;N-octanoylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
550;ACYLG;Acylglycines, Quantitative, Urine;21018;trans-Cinnamoylglycine;38417-2;Trans-cinnamoylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
551;ACYLG;Acylglycines, Quantitative, Urine;23390;Suberylglycine;13811-5;Suberylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
552;ACYLG;Acylglycines, Quantitative, Urine;21011;Ethylmalonic Acid;13741-4;Ethylmalonate/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
553;ACYLG;Acylglycines, Quantitative, Urine;23389;3-Phenylpropionylglycine;13793-5;Phenylpropionylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
554;ACYLG;Acylglycines, Quantitative, Urine;21012;2-Methylsuccinic acid;13777-8;Methylsuccinate/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
555;ACYLG;Acylglycines, Quantitative, Urine;21016;Isovalerylglycine;13766-1;Isovalerylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
556;ACYLG;Acylglycines, Quantitative, Urine;23388;n-Hexanoylglycine;13753-9;Hexanoylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
557;ACYLG;Acylglycines, Quantitative, Urine;21015;2-Methylbutyrylglycine;27097-5;2-Methylbutyrylglycine/Creatinine:MRto:Pt:Urine:Qn:;2009-11-13;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
558;ACYLG;Acylglycines, Quantitative, Urine;23414;Interpretation;59462-2;;2012-04-02;Gas Chromatography-Mass Spectrometry (GC-MS) Stable Isotope Dilution Analysis
559;ADMA;Asymmetric Dimethylarginine, Plasma;32053;ADMA Interpretation;69047-9;Geneticist review:Imp:Pt:XXX:Nar:;2013-09-18;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
560;ADNA;DNA Double-Stranded (dsDNA) Antibodies, IgG, Serum;ADNA;DNA Double-Stranded Ab, IgG, S;33800-4;DNA double strand Ab.IgG:ACnc:Pt:Ser:Qn:;2012-03-12;Enzyme-Linked Immunosorbent Assay (ELISA)
561;ADNAS;Anti-DNase B Titer, Serum;ADNAS;Anti-DNase B Titer, S;5133-4;DNAse B Ab.Streptococcal:ACnc:Pt:Ser:Qn:;2012-03-12;Nephelometry
562;ADULT;Adulterants Survey, Urine;30914;Comment;48767-8;Annotation comment:Imp:Pt:{system}:Nar:;2012-10-31;Spectrophotometry (SP)
563;ADULT;Adulterants Survey, Urine;23510;Nitrites;32710-6;Nitrite:ACnc:Pt:Urine:Ord:;2009-11-13;Spectrophotometry (SP)
564;ADULT;Adulterants Survey, Urine;23509;pH;2756-5;pH:LsCnc:Pt:Urine:Qn:;2009-11-13;Spectrophotometry (SP)
565;ADULT;Adulterants Survey, Urine;22312;Specific Gravity;5811-5;Specific gravity:Rden:Pt:Urine:Qn:Test strip;2009-11-13;Spectrophotometry (SP)
566;AF;Chromosome Analysis, Amniotic Fluid;50460;Banding Methods;62359-5;Chromosome banding method:Type:Pt:Bld/Tiss:Nom:Molgen;2011-03-23;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
567;AF;Chromosome Analysis, Amniotic Fluid;16044;Amendment;33773-3;Karyotype:Prid:Pt:Amnio fld:Nom:;2013-08-09;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
568;AF;Chromosome Analysis, Amniotic Fluid;16043;Interpretation;69965-2;;2012-04-05;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
569;AF;Chromosome Analysis, Amniotic Fluid;G_750;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2012-03-15;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
570;AF;Chromosome Analysis, Amniotic Fluid;16040;Method;49549-9; ;2013-07-26;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
571;AF;Chromosome Analysis, Amniotic Fluid;16042;Results;33773-3;Karyotype:Prid:Pt:Amnio fld:Nom:;2009-11-13;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
572;AF;Chromosome Analysis, Amniotic Fluid;G_744;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-11-13;Includes 2 banded karyograms, analysis of 15 or more metaphases, and other techniques when required. Results are usually confirmed in 15 or more colonies from 3 or more primary cultures.
573;AFBIL;Bilirubin, Amniotic Fluid;GSTN;Gestation;18185-9;Gestational age:Time:Pt:^Fetus:Qn:;2012-03-15;Spectrophotometric Scan
574;AFBIL;Bilirubin, Amniotic Fluid;AMBL;Amniotic Fluid;12476-8;Bilirubin:MCnc:Pt:Amnio fld:Qn:Direct spectrophotometry;2012-03-12;Spectrophotometric Scan
575;AFC;Amniotic Fluid Culture for Genetic Testing;CG132;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2012-03-15;Cell Culture
576;AFC;Amniotic Fluid Culture for Genetic Testing;16184;Method;49549-9; ;2013-07-26;Cell Culture
577;AFC;Amniotic Fluid Culture for Genetic Testing;16187;Interpretation;69965-2; ;2014-04-30;Cell Culture
578;AFC;Amniotic Fluid Culture for Genetic Testing;16188;Amendment;69965-2;Clinical cytogeneticist review:Imp:Pt:XXX:Nar;2014-04-30;Cell Culture
579;AFC;Amniotic Fluid Culture for Genetic Testing;16793;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-14;Cell Culture
580;AFP;Alpha-Fetoprotein (AFP) Tumor Marker, Serum;AFP;Alpha-Fetoprotein, Tumor Marker, S;53962-7;Alpha-1-Fetoprotein.tumor marker:MCnc:Pt:Ser/Plas:Qn:;2012-03-12;Immunoenzymatic Assay
581;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24241;Results;43798-8;Alpha-1-Fetoprotein:ACnc:Pt:Amnio fld:Ord:;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
582;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24235;Interpretation;59462-2;;2012-04-09;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
583;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24236;Additional Comments;55107-7;Addendum:Find:Pt:^Patient:Doc:;2012-01-27;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
584;AFPA;Alpha-Fetoprotein, Amniotic Fluid;9950;Alpha Fetoprotein, AF;43798-8;Alpha-1-Fetoprotein:ACnc:Pt:Amnio fld:Ord:;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
585;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24239;GA at Collection by Scan;11888-5;Gestational age:Time:Pt:^Fetus:Qn:US.composite.estimated;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
586;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24240;GA at Collection by Dates;11885-1;Gestational age:Time:Pt:^Fetus:Qn:Estimated from last menstrual period;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
587;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24234;GA Used;21299-3;Gestational age method:Prid:Pt:^Fetus:Nom:*;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
588;AFPA;Alpha-Fetoprotein, Amniotic Fluid;6740;Last Menstrual Period (LMP);8665-2;Date last menstrual period:TmStp:Pt:^Patient:Qn:Reported;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
589;AFPA;Alpha-Fetoprotein, Amniotic Fluid;24233;EDD by LMP;11779-6;Delivery date:TmStp:Pt:^Patient:Qn:Estimated from last menstrual period;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
590;AFPA;Alpha-Fetoprotein, Amniotic Fluid;6739;Collection Date;33882-2;Collection date:TmStp:Pt:XXX:Qn:;2009-11-13;AFPA: Immunoenzymatic AssayACHE_: Polyacrylamide Electrophoresis
591;AFPPT;Alpha-Fetoprotein (AFP), Peritoneal Fluid;SITEF;Site;39111-0;Body site:Anat:Pt:^Patient:Nom:;2013-08-08;Immunoenzymatic Assay
592;AFPSF;Alpha-Fetoprotein (AFP), Spinal Fluid;AFSF;Alpha-Fetoprotein, CSF;1833-3;Alpha-1-Fetoprotein:MCnc:Pt:CSF:Qn:;2012-03-12;Immunoenzymatic Assay
593;AGA;Alpha-Galactosidase, Leukocytes;8785;Alpha-Galactosidase, Leukocytes;24049-9;Alpha galactosidase A:CCnt:Pt:WBC:Qn:;2011-10-05;Fluorometric
594;AGA;Alpha-Galactosidase, Leukocytes;32302;Reason for Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2011-06-23;Fluorometric
595;AGA;Alpha-Galactosidase, Leukocytes;32303;Method;49549-9;Reference lab test method:Type:XXX:Reference lab test:Nar:;2011-06-23;Fluorometric
596;AGABS;Alpha-Galactosidase, Blood Spot;50890;Interpretation;59462-2;;2012-04-02;Fluorometric Enzyme Assay
597;AGABS;Alpha-Galactosidase, Blood Spot;50889;Alpha-Galactosidase, BS;55908-8;Alpha galactosidase A:CCnc:Pt:Bld.dot:Qn:;2011-06-23;Fluorometric Enzyme Assay
598;AGABS;Alpha-Galactosidase, Blood Spot;50888;Method;49549-9; ;2013-07-26;Fluorometric Enzyme Assay
599;AGABS;Alpha-Galactosidase, Blood Spot;50891;Amendment;55908-8;Alpha galactosidase A:CCnc:Pt:Bld.dot:Qn:;2014-05-07;Fluorometric Enzyme Assay
600;AGABS;Alpha-Galactosidase, Blood Spot;50887;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2011-06-23;Fluorometric Enzyme Assay
601;AGABS;Alpha-Galactosidase, Blood Spot;50885;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;Fluorometric Enzyme Assay
602;AGAS;Alpha-Galactosidase, Serum;50583;Method;49549-9; ;2013-07-26;Fluorometric
603;AGAS;Alpha-Galactosidase, Serum;50590;Alpha-Galactosidase,S;1813-5;Alpha galactosidase A:CCnc:Pt:Ser/Plas:Qn:;2009-11-13;Fluorometric
604;AGAS;Alpha-Galactosidase, Serum;50580;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;Fluorometric
605;AGAS;Alpha-Galactosidase, Serum;50582;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2009-11-13;Fluorometric
606;AGAS;Alpha-Galactosidase, Serum;50584;Interpretation;59462-2;;2012-04-02;Fluorometric
607;AGPB;Alpha-Globin Gene Analysis;16451;Result;21687-9;HBA1 gene mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen;2009-11-13;Dosage Analysis by Polymerase Chain Reaction (PCR)/Multiplex Ligation-Dependent Probe Amplification (MLPA)/Luminex Technology(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
608;AGPB;Alpha-Globin Gene Analysis;16450;Method;49549-9; ;2013-07-26;Dosage Analysis by Polymerase Chain Reaction (PCR)/Multiplex Ligation-Dependent Probe Amplification (MLPA)/Luminex Technology(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
609;AGPB;Alpha-Globin Gene Analysis;16452;Interpretation;69047-9;Service comment 01:Imp:Pt:XXX:Nom:;2012-04-05;Dosage Analysis by Polymerase Chain Reaction (PCR)/Multiplex Ligation-Dependent Probe Amplification (MLPA)/Luminex Technology(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
610;AGPB;Alpha-Globin Gene Analysis;16448;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-14;Dosage Analysis by Polymerase Chain Reaction (PCR)/Multiplex Ligation-Dependent Probe Amplification (MLPA)/Luminex Technology(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
611;AGPB;Alpha-Globin Gene Analysis;16453;Amendment;21687-9;HBA1 gene mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen;2013-07-30;Dosage Analysis by Polymerase Chain Reaction (PCR)/Multiplex Ligation-Dependent Probe Amplification (MLPA)/Luminex Technology(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
612;AGS;Silver, Serum;8607;Silver, S;5734-9;Silver:MCnc:Pt:Ser/Plas:Qn:;2009-11-13;Inductively Coupled Plasma-Mass Spectrometry (ICP-MS)
613;AGXKM;AGXT Gene, Known Mutation;51094;Amendment;69384-6;AGXT gene mutation analysis limited to known familial mutations:Prid:Pt:Bld/Tiss:Nar:Molgen;2013-07-30;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
614;AGXKM;AGXT Gene, Known Mutation;51091;Result;69384-6;;2012-04-10;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
615;AGXKM;AGXT Gene, Known Mutation;51087;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
616;AGXKM;AGXT Gene, Known Mutation;51090;Method;49549-9; ;2013-07-26;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
617;AGXKM;AGXT Gene, Known Mutation;51089;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2011-06-23;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
618;AGXKM;AGXT Gene, Known Mutation;51092;Interpretation;59462-2;Clinical biochemist review:Imp:Pt:XXX:Nar:;2012-04-05;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
619;AGXMS;AGXT Gene, Full Gene Analysis;51082;Amendment;69383-8;AGXT gene mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen;2013-07-30;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
620;AGXMS;AGXT Gene, Full Gene Analysis;51075;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
621;AGXMS;AGXT Gene, Full Gene Analysis;51079;Result;69383-8;AGXT gene mutation analysis:Prid:Pt:Bld/Tiss:Nom:Molgen;2012-04-10;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
622;AGXMS;AGXT Gene, Full Gene Analysis;51077;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2011-06-23;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
623;AGXMS;AGXT Gene, Full Gene Analysis;51078;Method;49549-9; ;2013-07-26;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
624;AGXMS;AGXT Gene, Full Gene Analysis;51080;Interpretation;59462-2;Clinical biochemist review:Imp:Pt:XXX:Nar:;2012-04-05;Polymerase Chain Reaction (PCR) Followed by DNA Sequence Analysis and Gene Dosage Analysis by Multiplex Ligation-Dependent Probe Amplification (MLPA)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
625;AGXT;Alanine:Glyoxylate Aminotransferase (AGXT) Mutation Analysis (G170R), Blood;22648;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;Direct Mutation Analysis by Polymerase Chain Reaction (PCR)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
626;AGXT;Alanine:Glyoxylate Aminotransferase (AGXT) Mutation Analysis (G170R), Blood;22653;Interpretation;69047-9;Service comment 01:Imp:Pt:XXX:Nom:;2012-04-05;Direct Mutation Analysis by Polymerase Chain Reaction (PCR)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
627;AGXT;Alanine:Glyoxylate Aminotransferase (AGXT) Mutation Analysis (G170R), Blood;22650;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2009-11-13;Direct Mutation Analysis by Polymerase Chain Reaction (PCR)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
628;AGXT;Alanine:Glyoxylate Aminotransferase (AGXT) Mutation Analysis (G170R), Blood;22651;Method;49549-9; ;2013-07-26;Direct Mutation Analysis by Polymerase Chain Reaction (PCR)(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)
629;AIVC;Aldosterone, Inferior Vena Cava, Serum;6503;Aldosterone, IVC;1762-4;Aldosterone:MCnc:Pt:Bld:Qn:;2009-11-13;Liquid Chomatography-Tandem Mass Spectrometry (LC-MS/MS)
630;AJPWO;Ashkenazi Jewish Mutation Analysis Panel Without Cystic Fibrosis (CF);27175;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-05-18;AJPWO: Polymerase chain reaction (PCR) analysis is used to test for mutations associated with 8 disorders prevalent in the Ashkenazi Jewish population.(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)23425: Heat Inactivation, Fluorometric, Semiautomated
631;AJPWO;Ashkenazi Jewish Mutation Analysis Panel Without Cystic Fibrosis (CF);27178;Method;49549-9; ;2013-07-26;AJPWO: Polymerase chain reaction (PCR) analysis is used to test for mutations associated with 8 disorders prevalent in the Ashkenazi Jewish population.(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)23425: Heat Inactivation, Fluorometric, Semiautomated
632;AJPWO;Ashkenazi Jewish Mutation Analysis Panel Without Cystic Fibrosis (CF);27180;Interpretation;69047-9;Service comment 01:Imp:Pt:XXX:Nom:;2012-04-05;AJPWO: Polymerase chain reaction (PCR) analysis is used to test for mutations associated with 8 disorders prevalent in the Ashkenazi Jewish population.(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)23425: Heat Inactivation, Fluorometric, Semiautomated
633;AJPWO;Ashkenazi Jewish Mutation Analysis Panel Without Cystic Fibrosis (CF);27177;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2009-11-13;AJPWO: Polymerase chain reaction (PCR) analysis is used to test for mutations associated with 8 disorders prevalent in the Ashkenazi Jewish population.(PCR is utilized pursuant to a license agreement with Roche Molecular Systems, Inc.)23425: Heat Inactivation, Fluorometric, Semiautomated
634;AL;Aluminum, Serum;8373;Aluminum, S;5574-9;Aluminum:MCnc:Pt:Ser/Plas:Qn:;2009-11-13;Dynamic Reaction Cell-Inductively Coupled Plasma-Mass Spectrometry (DRC-ICP-MS)
635;ALAD;Aminolevulinic Acid Dehydratase (ALAD), Whole Blood;28399;Interpretation;59462-2;;2012-04-09;Enzymatic End point/Spectrofluorometric
636;ALAD;Aminolevulinic Acid Dehydratase (ALAD), Whole Blood;4021;ALA Dehydratase;2813-4;Porphobilinogen synthase:CCnc:Pt:RBC:Qn:;2009-11-13;Enzymatic End point/Spectrofluorometric
637;ALADW;Aminolevulinic Acid Dehydratase (ALA-D), Washed Erythrocytes;31948;Interpretation;59462-2;;2012-04-09;Enzymatic End point/Spectrofluorometric
638;ALADW;Aminolevulinic Acid Dehydratase (ALA-D), Washed Erythrocytes;31946;ALA Dehydratase;2813-4;Porphobilinogen synthase:CCnc:Pt:RBC:Qn:;2011-06-22;Enzymatic End point/Spectrofluorometric
639;ALAUR;Aminolevulinic Acid (ALA), Urine;61547;Aminolevulinic Acid, U;34284-0;Delta aminolevulinate:SCnc:Pt:Urine:Qn:;2013-12-05;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
640;ALAV;Aldosterone, Left Adrenal Vein, Serum;6349;Aldosterone, LAV;1762-4;Aldosterone:MCnc:Pt:Bld:Qn:;2011-10-05;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
641;ALB;Albumin, Serum;ALB;Albumin, S;1751-7;Albumin:MCnc:Pt:Ser/Plas:Qn:;2012-03-12;Photometric, Bromcresol Green
642;ALC;Ethanol, Blood;30908;Ethanol, B;5640-8;Ethanol:MCnc:Pt:Bld:Qn:;2009-11-13;Headspace Gas Chromatography-Flame Ionization Detector (HSGC-FID)
643;ALDR;Grey Alder, IgE;ALDR;Grey Alder, IgE;15284-3;Alnus incana Ab.IgE:ACnc:Pt:Ser:Qn:;2012-03-12;Fluorescence Enzyme Immunoassay (FEIA)
644;ALDS;Aldosterone, Serum;8557;Aldosterone, S;1763-2;Aldosterone:MCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
645;ALDU;Aldosterone, 24 Hour, Urine;VL45;Urine Volume;3167-4;Specimen volume:Vol:24H:Urine:Qn:;2012-03-12;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
646;ALDU;Aldosterone, 24 Hour, Urine;8556;Aldosterone, U;1765-7;Aldosterone:MRat:24H:Urine:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
647;ALDU;Aldosterone, 24 Hour, Urine;TM47;Collection Duration;13362-9;Collection duration:Time:*:Urine:Qn:;2012-03-12;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS)
648;ALFA;Alpha-Lactoalbumin, IgE;ALFA;Alpha-Lactoalbumin, IgE;7445-0;Lactalbumin alpha Ab.IgE:ACnc:Pt:Ser:Qn:;2012-03-12;Fluorescence Enzyme Immunoassay (FEIA)
649;ALLOI;Allo-isoleucine, Blood Spot;27458;Leucine;20649-0;Leucine:SCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
650;ALLOI;Allo-isoleucine, Blood Spot;27459;Isoleucine;20648-2;Isoleucine:SCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
651;ALLOI;Allo-isoleucine, Blood Spot;27460;Valine;20661-5;Valine:SCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
652;ALLOI;Allo-isoleucine, Blood Spot;27453;Interpretation;59462-2;;2012-04-09;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
653;ALLOI;Allo-isoleucine, Blood Spot;27457;Allo-isoleucine;22670-4;Alloisoleucine:SCnc:Pt:Ser/Plas:Qn:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
654;ALLOI;Allo-isoleucine, Blood Spot;27451;Method;49549-9;Reference lab test method:Type:XXX:Reference lab test:Nar:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
655;ALLOI;Allo-isoleucine, Blood Spot;27450;Reason For Referral;42349-1;Reason for referral:Find:Pt:^Patient:Nar:;2009-11-13;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
656;ALLOI;Allo-isoleucine, Blood Spot;27448;Source;31208-2;Specimen source:Prid:Pt:XXX:Nom:;2012-10-31;Liquid Chromatography-Tandem Mass Spectrometry (LC-MS/MS) Stable Isotope Dilution Analysis
657;ALM;Almond, IgE;ALM;Almond, IgE;6019-4;Prunus dulcis Ab.IgE:ACnc:Pt:Ser:Qn:;2012-03-12;Fluorescence Enzyme Immunoassay (FEIA)
658;ALP;Alkaline Phosphatase, Serum;ALP;Alkaline Phosphatase, S;6768-6;Alkaline phosphatase:CCnc:Pt:Ser/Plas:Qn:;2012-03-12;Photometric, p-Nitrophenol Phosphate
659;ALPA;Alprazolam, Serum;11236;Alprazolam, S;3312-6;Alprazolam:MCnc:Pt:Ser/Plas:Qn:;2009-11-13;High-Performance Liquid Chromatography (HPLC)
660;ALPS;Alpha Beta Double-Negative T Cells for Autoimmune Lymphoproliferative Syndrome;23975;Interpretation;69052-9;;2012-04-09;Flow Cytometry
661;ALPS;Alpha Beta Double-Negative T Cells for Autoimmune Lymphoproliferative Syndrome;23974;alpha/beta-TCR DNT;34963-9;Cells.CD3+TCR alpha beta+:NCnc:Pt:Bld:Qn:;2009-11-13;Flow Cytometry
662;ALPS;Alpha Beta Double-Negative T Cells for Autoimmune Lymphoproliferative Syndrome;23973;%alpha/beta-TCR DNT;34962-1;Cells.CD3+TCR alpha beta+/100 cells:NFr:Pt:Bld:Qn:;2009-11-13;Flow Cytometry
663;ALS;Aldolase, Serum;ALS;Aldolase, S;1761-6;Aldolase:CCnc:Pt:Ser/Plas:Qn:;2012-03-12;Ultraviolet, Kinetic
